Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
114,115,SVW,Seven Grp Hldgs,2.169,7.32,+17,8.66,5.05,40.00,f,5.46,7.81,-,14.00,52.3,-38.7,.703,6.52,-4.5,-4.4,,
115,112,BKW,Brickworks,2.128,14.34,-18,14.90,11.52,43.00,f,3.00,4.28,3.7,59.80,24.0,1.1,1.125,10.41,-.9,11.7,,
116,116,CSR,CSR,2.075,4.10,+8,4.43,3.15,13.50,,3.29,3.29,96.1,21.90,18.7,114.3,1.781,2.04,20.2,37.0,,
117,117,PMV,Premier Invest,2.054,13.16,+15,13.39,8.01,41.00,f,3.12,4.45,5.3,49.91,26.4,16.0,1.355,3.17,19.1,32.8,,
118,126,SUL,Super Retail Grp,2.029,10.30,+45,11.01,6.70,40.00,f,3.88,5.55,5.3,40.80,25.2,-7.1,2.462,.16,-10.3,11.7,,
119,118,NEC,Nine Entertainment,2.022,2.15,+2,2.37,1.62,8.40,,3.91,3.91,-,12.39,17.4,-,1.103,-,-4.8,-,,
120,121,ALQ,ALS,2.008,4.93,+10,9.30,4.33,31.00,p,6.29,7.25,-17.6,28.41,17.4,-31.5,1.483,-.02,-26.4,-23.5,,
121,125,BWP,BWP Trust,2.004,3.12,+8,3.205,2.31,15.55,,4.98,4.98,4.7,31.55,9.9,-27.3,1.474,2.18,36.9,27.9,,
122,123,CMW,Cromwell Property,1.981,1.14,+1,1.20,.935,7.80,,6.84,6.84,5.2,10.52,10.8,-.3,1.595,.74,28.1,27.0,,
123,119,ZNZ,Z Energy,1.972,4.93,-7,5.08,3.33,20.11,,4.08,4.08,-,4.90,100.6,-,3.362,.56,36.0,-,,
124,120,NHC,New Hope Corp,1.969,2.37,-3,3.143,2.18,6.00,f,2.53,3.62,-27.3,1.50,158.0,-67.2,1.031,2.24,-14.4,-18.6,,
